URI,Type,Label (IT),Label (EN),PrefLabel (IT),PrefLabel (EN),Notation,Definition (IT),Definition (EN),Note (IT),Note (EN),Same As,Exact Match,Close Match
https://w3id.org/italia/republic-history/data/arc-resource-type/category,"a-arc:ArchivalResourceLevel, skos:Concept",Categoria,Class,Categoria,Class,category,1. Un gruppo di cose che condividono caratteristiche comuni; membri di un insieme; 2. L'elemento più alto o radice di una gerarchia,1. A group of things sharing common characteristics; members of a set; 2. The highest or root element in a hierarchy,Definizione proveniente da Dictionary of Archives Terminology (SAA) https://dictionary.archivists.org/index.html,Definition coming from Dictionary of Archives Terminology (SAA) https://dictionary.archivists.org/index.html,http://lod.xdams.org/reload/oad/levelOfDescription/class,http://lod.xdams.org/reload/oad/levelOfDescription/class,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Collection
https://w3id.org/italia/republic-history/data/arc-resource-type/collection,"a-arc:ArchivalResourceLevel, skos:Concept",Generica collezione di elementi,General collection of elements,Collezione/Raccolta,Collection,collection,"Raccolta di documenti che, estrapolati dalle diverse serie di provenienza, sono stati riuniti per affinità di materia o in base a qualche altro elemento unificante.","1. a set of archival or (more commonly) manuscript materials; 2. materials assembled by a person, organization, or repository from a variety of sources",Definizione in italiano derivante dalla Direzione Generale Archivi,Definition in Italian coming from Direzione Generale Archivi,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Collection,http://lod.xdams.org/reload/oad/levelOfDescription/collection,http://lod.xdams.org/reload/oad/levelOfDescription/otherLevel
https://w3id.org/italia/republic-history/data/arc-resource-type/fonds,"a-arc:ArchivalResourceLevel, skos:Concept",Fondo,Fonds,Fondo,Fonds,fonds,"L’insieme organico dei documenti archivistici, senza distinzione di tipologia o di supporto","The whole of the records, regardless of form or medium",La definizione in italiano e in inglese è tratta da https://icar.cultura.gov.it,The definition in Italian and English is taken from https://icar.cultura.gov.it,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Fonds,http://lod.xdams.org/reload/oad/levelOfDescription/fonds,http://lod.xdams.org/reload/oad/levelOfDescription/fonds
https://w3id.org/italia/republic-history/data/arc-resource-type/subfonds,"a-arc:ArchivalResourceLevel, skos:Concept",Subfondo,Subfonds,Subfondo,Subfonds,subfonds,La suddivisione di un fondo contenente un insieme di documentazione correlata,A subdivision of a fonds containing a body of related records,Definizioni fornite da https://icar.cultura.gov.it,Definitions coming from https://icar.cultura.gov.it,http://lod.xdams.org/reload/oad/levelOfDescription/subfonds,http://lod.xdams.org/reload/oad/levelOfDescription/subfonds,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Collection
https://w3id.org/italia/republic-history/data/arc-resource-type/recordgrp,"a-arc:ArchivalResourceLevel, skos:Concept",Complesso archivistico,Record group,Complesso archivistico,Record group,recordgrp,Espressione generica usata per indicare uno o più archivi di specifici soggetti produttori,A collection of records that share the same provenance or were created in the same administrative unit,"Definizione in italiano proveniente da Carucci, P. , Guercio, M., Manuale di archivistica","Italian definition coming from Carucci, P. , Guercio, M., Manuale di archivistica",http://lod.xdams.org/reload/oad/levelOfDescription/recordgrp,http://lod.xdams.org/reload/oad/levelOfDescription/recordgrp,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Collection
https://w3id.org/italia/republic-history/data/arc-resource-type/subgrp,"a-arc:ArchivalResourceLevel, skos:Concept",Sottogruppo,Subgroup,Sottogruppo,Subgroup,subgrp,A body of related records within a record group or collection,A body of related records within a record group or collection,Definizione in italiano derivante da Dictionary of Archives Terminology,English definition coming from Dictionary of Archives Terminology,http://lod.xdams.org/reload/oad/levelOfDescription/subgrp,http://lod.xdams.org/reload/oad/levelOfDescription/subgrp,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Collection
https://w3id.org/italia/republic-history/data/arc-resource-type/series,"a-arc:ArchivalResourceLevel, skos:Concept",Serie,Series,Serie,Series,series,Documenti ordinati secondo un sistema di archiviazione o conservati insieme,Documents arranged in accordance with a filing system,Definizioni in italiano e in inglese fornite da https://icar.cultura.gov.it,Definitions in Italian and English coming from https://icar.cultura.gov.it,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Series,http://lod.xdams.org/reload/oad/levelOfDescription/serie,http://lod.xdams.org/reload/oad/levelOfDescription/serie
https://w3id.org/italia/republic-history/data/arc-resource-type/subseries,"a-arc:ArchivalResourceLevel, skos:Concept",Sottoserie,Subseries,Sottoserie,Subseries,subseries,Partizione interna alla serie,A body of documents within a series,"Definizione italiana tratta da Carucci, P. , Guercio, M.","The Italian definition comes from Carucci, P. , Guercio, M.",http://lod.xdams.org/reload/oad/levelOfDescription/subseries,http://lod.xdams.org/reload/oad/levelOfDescription/subseries,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Collection
https://w3id.org/italia/republic-history/data/arc-resource-type/archival-unit,"a-arc:ArchivalResourceLevel, skos:Concept",Unità archivistica,Archival Unit,Unità archivistica,Archival Unit,archivial-unit,Un insieme organizzato di documenti raggruppati o dal soggetto produttore,An organized unit of documents grouped together,Definizioni in italiano e in inglese fornite da https://icar.cultura.gov.it,Definitions in Italian and English are coming from https://icar.cultura.gov.it,http://lod.xdams.org/reload/oad/levelOfDescription/file,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#File,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#File
https://w3id.org/italia/republic-history/data/arc-resource-type/subfile,"a-arc:ArchivalResourceLevel, skos:Concept",Sottofascicolo,Subfile,Sottofascicolo,Subfile,subfile,Articolazione interna al fascicolo,Articulation within the file,Definizione tratta da http://2.42.228.207/archivi/index.php/abc-degli-archivi/glossario,Definition taken from http://2.42.228.207/archivi/index.php/abc-degli-archivi/glossario,http://lod.xdams.org/reload/oad/levelOfDescription/subfile,http://lod.xdams.org/reload/oad/levelOfDescription/subfile,https://www.ica.org/standards/RiC/vocabularies/recordSetTypes#Collection
