label_IT,label_EN,prefLabel,prefLabel_IT,prefLabel_EN,altLabel_IT,altLabel_EN,definition_IT,definition_EN,notation,note
Busta,envelope,Busta,Busta,envelope,,,,,,
Carta,,Carta,Carta,,,,,,,
Cartella,,Cartella,Cartella,,,,,,,
Faldone,,Faldone,Faldone,,,,,,,
Fascicolo,,Fascicolo,Fascicolo,,,,,,,
Filza,,Filza,Filza,,,,,,,
Foglio,,Foglio,Foglio,,,,,,,
Manifesto,,Manifesto,Manifesto,,,,,,,
Mappa,,Mappa,Mappa,,,,,,,
Mazzo,,Mazzo,Mazzo,,,,,,,
Opuscolo,,Opuscolo,Opuscolo,,,,,,,
Pacco,,Pacco,Pacco,,,,,,,
Pagina,,Pagina,Pagina,,,,,,,
Plico,,Plico,Plico,,,,,,,
Quaderno,,Quaderno,Quaderno,,,,,,,
Raccoglitore,,Raccoglitore,Raccoglitore,,,,,,,
Registro,,Registro,Registro,,,,,,,
Rivista,,Rivista,Rivista,,,,,,,
Rotolo,,Rotolo,Rotolo,,,,,,,
Scatola,,Scatola,Scatola,,,,,,,
Scheda,,Scheda,Scheda,,,,,,,
Taccuino,,Taccuino,Taccuino,,,,,,,
Vacchetta,,Vacchetta,Vacchetta,,,,,,,
Volume,,Volume,Volume,,,,,,,
Album,,Album,Album,,,,,,,
