legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,history,genere,relazione_complesso,relazione_tema,relazione_bib
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
"Magistrato politico economico di Trento, Trento, 1825 - 1949",Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
"Magistrato civico di Trento, Trento, 1814 - 1825",Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato civico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato civico di Trento, Trento, 1814 - 1825",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,,,ca-83463,Enti pubblici locali e territoriali,
Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,,,ca-599837,Rete Parri,
Commissione provinciale di censura di guerra di Mantova,,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,,,ca-599837,Rete Parri,
"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",,,corporateBody,,,"Commissione provinciale di censura di guerra di Mantova, Mantova, 1940 - 1945",SIUSA,1940,1945,,,Sede,Mantova,Sede,Mantova,,pubblico,stato,,,ca-599837,Rete Parri,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
"Commissione provinciale patrioti di Trento, Trento, 1946",Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
"Ufficio provinciale patrioti di Trento, Trento, 1945",Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Ufficio provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Ufficio provinciale patrioti di Trento, Trento, 1945",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
Commissione provinciale patrioti di Trento,Ufficio provinciale patrioti di Trento,1945,corporateBody,,,"Commissione provinciale patrioti di Trento, Trento, 1946",SIUSA,1945,1946,,,Sede,Trento,Sede,Trento,,pubblico,stato,,,ca-599842,Antifascismo e Resistenza,
