id_sistema,legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,history,genere,relazione_complesso,relazione_tema,relazione_bib,rangeIntestazione
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,"Magistrato politico economico di Trento, Trento, 1825 - 1949",Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,"Magistrato civico di Trento, Trento, 1814 - 1825",Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato civico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato civico di Trento, Trento, 1814 - 1825",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1814 - 1825
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
sp-101083,Magistrato politico economico di Trento,Magistrato civico di Trento,1814 - 1825,corporateBody,,,"Magistrato politico economico di Trento, Trento, 1825 - 1949",SIUSA,1814,1849,,,Sede,Trento,Sede,Trento,,pubblico,ente pubblico territoriale,Il Trentino fu rioccupato dalle truppe austriache nel 1814 e il Dipartimento dell’Alto Adige fu incorporato nella primavera del 1815.,,ca-83463,Enti pubblici locali e territoriali,,1825 - 1949
